xpos,team,xpts,Title,Promotion,Promotion P/O,REL,date
1.0,West Ham,77.82,17.80%,30.32%,42.10%,0.94%,14-Aug-26
2.0,Southampton,74.56,12.20%,23.20%,41.78%,1.86%,14-Aug-26
3.0,Middlesbrough,73.38,10.84%,19.76%,40.98%,2.28%,14-Aug-26
4.0,Wolves,73.07,10.64%,19.94%,40.02%,2.26%,14-Aug-26
5.0,Millwall,70.24,6.92%,14.00%,37.26%,3.48%,14-Aug-26
6.0,Burnley,69.88,6.98%,14.00%,37.28%,3.84%,14-Aug-26
7.0,Norwich,68.37,5.46%,11.24%,35.00%,4.40%,14-Aug-26
8.0,Sheff Utd,65.69,3.54%,7.96%,30.98%,6.70%,14-Aug-26
9.0,Wrexham,64.72,3.70%,7.48%,28.28%,7.88%,14-Aug-26
10.0,Birmingham,64.61,2.96%,7.26%,28.36%,7.80%,14-Aug-26
11.0,Derby,64.59,3.44%,7.16%,29.26%,8.02%,14-Aug-26
12.0,Swansea,63.56,2.90%,6.36%,26.80%,8.48%,14-Aug-26
13.0,West Brom,62.42,2.42%,5.80%,23.64%,10.10%,14-Aug-26
14.0,Portsmouth,61.02,2.22%,5.04%,21.76%,12.24%,14-Aug-26
15.0,Lincoln,59.59,1.72%,4.02%,19.32%,13.92%,14-Aug-26
16.0,Blackburn,59.11,1.34%,3.28%,18.86%,14.36%,14-Aug-26
17.0,Bristol C,57.58,0.64%,2.08%,16.54%,17.24%,14-Aug-26
18.0,QPR,56.64,1.20%,2.44%,14.84%,18.92%,14-Aug-26
19.0,Bolton,55.1,0.62%,1.78%,12.46%,22.60%,14-Aug-26
20.0,Cardiff,54.79,0.58%,1.54%,12.78%,23.60%,14-Aug-26
21.0,Charlton,54.17,0.64%,1.74%,12.12%,25.70%,14-Aug-26
22.0,Preston,54.09,0.40%,1.34%,11.08%,24.62%,14-Aug-26
23.0,Watford,53.9,0.48%,1.34%,10.88%,25.38%,14-Aug-26
24.0,Stoke,50.89,0.36%,0.92%,7.62%,33.38%,14-Aug-26
1.0,West Ham,77.06,16.60%,29.16%,42.14%,0.96%,18-Aug-26
2.0,Middlesbrough,75.67,14.20%,25.10%,42.20%,1.30%,18-Aug-26
3.0,Millwall,74.19,11.02%,21.86%,42.36%,1.64%,18-Aug-26
4.0,Southampton,71.73,9.06%,17.40%,40.60%,2.38%,18-Aug-26
5.0,Wolves,71.56,8.52%,17.06%,39.94%,2.52%,18-Aug-26
6.0,Burnley,69.83,6.76%,14.10%,35.94%,3.68%,18-Aug-26
7.0,West Brom,66.15,3.92%,8.70%,31.76%,5.96%,18-Aug-26
8.0,Swansea,65.92,3.94%,8.30%,30.94%,6.08%,18-Aug-26
9.0,Birmingham,65.43,3.80%,8.22%,29.26%,6.58%,18-Aug-26
10.0,Norwich,64.95,3.44%,7.34%,29.84%,7.36%,18-Aug-26
11.0,Wrexham,64.8,3.72%,8.02%,28.80%,6.82%,18-Aug-26
12.0,Sheff Utd,64.7,3.06%,6.72%,29.48%,6.88%,18-Aug-26
13.0,Derby,61.93,2.34%,5.28%,23.34%,10.58%,18-Aug-26
14.0,QPR,61.24,2.06%,4.78%,22.06%,11.06%,18-Aug-26
15.0,Blackburn,59.79,1.52%,3.76%,20.38%,13.70%,18-Aug-26
16.0,Lincoln,57.71,0.84%,2.10%,16.72%,17.04%,18-Aug-26
17.0,Watford,57.05,1.10%,2.12%,15.10%,19.18%,18-Aug-26
18.0,Portsmouth,56.99,1.00%,2.26%,14.84%,18.74%,18-Aug-26
19.0,Bolton,56.92,0.88%,2.12%,14.68%,19.32%,18-Aug-26
20.0,Charlton,56.2,0.64%,2.02%,14.04%,20.44%,18-Aug-26
21.0,Cardiff,54.46,0.68%,1.22%,11.14%,23.34%,18-Aug-26
22.0,Bristol C,53.7,0.36%,1.14%,10.00%,24.92%,18-Aug-26
23.0,Preston,52.07,0.32%,0.68%,8.42%,29.86%,18-Aug-26
24.0,Stoke,48.91,0.22%,0.54%,6.02%,39.66%,18-Aug-26
1.0,Millwall,76.8,17.08%,28.94%,42.60%,0.94%,24-Aug-26
2.0,Wolves,74.47,12.92%,23.82%,41.84%,1.46%,24-Aug-26
3.0,West Ham,73.49,11.42%,21.16%,42.06%,1.72%,24-Aug-26
4.0,Middlesbrough,73.41,11.24%,20.28%,42.74%,1.50%,24-Aug-26
5.0,Southampton,72.79,10.38%,19.96%,42.40%,1.70%,24-Aug-26
6.0,West Brom,68.58,6.06%,11.78%,35.32%,3.84%,24-Aug-26
7.0,Burnley,67.38,4.70%,10.66%,33.50%,4.30%,24-Aug-26
8.0,Sheff Utd,65.48,3.80%,8.32%,30.84%,6.10%,24-Aug-26
9.0,Swansea,64.95,2.88%,7.58%,29.28%,6.80%,24-Aug-26
10.0,Wrexham,63.74,2.54%,6.40%,27.14%,7.68%,24-Aug-26
11.0,Birmingham,63.44,2.48%,5.78%,26.14%,8.00%,24-Aug-26
12.0,Blackburn,62.61,2.56%,5.64%,24.78%,9.18%,24-Aug-26
13.0,Norwich,62.14,2.10%,4.90%,24.76%,9.64%,24-Aug-26
14.0,Portsmouth,60.55,1.54%,3.70%,20.74%,12.18%,24-Aug-26
15.0,Derby,60.37,1.70%,3.84%,20.94%,12.32%,24-Aug-26
16.0,QPR,60.22,1.32%,3.64%,20.42%,12.54%,24-Aug-26
17.0,Charlton,59.98,1.34%,3.44%,19.90%,12.92%,24-Aug-26
18.0,Watford,57.24,0.78%,2.42%,14.30%,18.02%,24-Aug-26
19.0,Bolton,56.63,0.82%,2.18%,14.26%,19.64%,24-Aug-26
20.0,Cardiff,55.07,0.80%,1.98%,11.58%,23.24%,24-Aug-26
21.0,Bristol C,54.79,0.64%,1.34%,12.06%,22.88%,24-Aug-26
22.0,Lincoln,54.45,0.64%,1.44%,11.58%,23.76%,24-Aug-26
23.0,Preston,49.81,0.16%,0.50%,6.00%,37.58%,24-Aug-26
24.0,Stoke,48.13,0.10%,0.30%,4.82%,42.06%,24-Aug-26
24,Stoke,3,0,0,3,3,30-Aug-26
